Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
GREEDY,5_Kacem_4_workers.fjs,1,37,734.93,0.03
GREEDY,5_Kacem_4_workers.fjs,2,38,980.93,0.03
GREEDY,5_Kacem_4_workers.fjs,3,33,950.93,0.03
GREEDY,5_Kacem_4_workers.fjs,4,38,866.93,0.03
GREEDY,5_Kacem_4_workers.fjs,5,34,894.93,0.03
GREEDY,5_Kacem_4_workers.fjs,6,30,766.93,0.03
GREEDY,5_Kacem_4_workers.fjs,7,46,688.93,0.03
GREEDY,5_Kacem_4_workers.fjs,8,50,1346.93,0.03
GREEDY,5_Kacem_4_workers.fjs,9,45,762.93,0.03
GREEDY,5_Kacem_4_workers.fjs,10,30,718.93,0.03
GREEDY,2c_Hurink_rdata_50_workers.fjs,1,13201,12389399.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,2,13190,9549181.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,3,13138,8081247.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,4,13504,9607815.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,5,13758,10483127.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,6,12802,10933259.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,7,13515,13087559.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,8,13168,12387639.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,9,13190,12315699.33,0.0
GREEDY,2c_Hurink_rdata_50_workers.fjs,10,13190,9606583.33,0.0
GREEDY,3_DPpaulli_15_workers.fjs,1,13626,764929.73,0.23
GREEDY,3_DPpaulli_15_workers.fjs,2,14048,713947.73,0.23
GREEDY,3_DPpaulli_15_workers.fjs,3,14023,1239277.73,0.23
GREEDY,3_DPpaulli_15_workers.fjs,4,13594,255557.73,0.24
GREEDY,3_DPpaulli_15_workers.fjs,5,13424,565771.73,0.23
GREEDY,3_DPpaulli_15_workers.fjs,6,14032,788463.73,0.23
GREEDY,3_DPpaulli_15_workers.fjs,7,14437,637591.73,0.23
GREEDY,3_DPpaulli_15_workers.fjs,8,13202,809279.73,0.24
GREEDY,3_DPpaulli_15_workers.fjs,9,13994,558951.73,0.24
GREEDY,3_DPpaulli_15_workers.fjs,10,14485,658027.73,0.24
GREEDY,2a_Hurink_sdata_18_workers.fjs,1,3203,113711.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,2,3272,213699.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,3,3497,100163.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,4,3408,275713.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,5,3352,115293.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,6,3328,163603.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,7,3247,216947.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,8,3187,184101.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,9,3360,236233.43,0.01
GREEDY,2a_Hurink_sdata_18_workers.fjs,10,3418,221051.43,0.01
GREEDY,2d_Hurink_vdata_30_workers.fjs,1,5740,284197.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,2,5862,500135.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,3,6039,688913.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,4,6424,494583.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,5,6105,409969.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,6,5774,439715.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,7,6181,888701.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,8,6233,330207.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,9,6202,583029.73,0.11
GREEDY,2d_Hurink_vdata_30_workers.fjs,10,6059,740463.73,0.11
GREEDY,2a_Hurink_sdata_61_workers.fjs,1,2342,221001.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,2,2199,190969.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,3,2153,180313.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,4,2220,191927.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,5,2266,245399.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,6,2416,243225.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,7,2279,270623.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,8,2171,179581.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,9,2251,212775.73,0.03
GREEDY,2a_Hurink_sdata_61_workers.fjs,10,2197,189687.73,0.03
GREEDY,1_Brandimarte_7_workers.fjs,1,409,4787.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,2,397,5511.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,3,410,5975.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,4,427,6421.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,5,402,7555.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,6,382,4723.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,7,388,9235.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,8,407,7407.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,9,377,7437.43,0.02
GREEDY,1_Brandimarte_7_workers.fjs,10,400,6909.43,0.02
GREEDY,3_DPpaulli_9_workers.fjs,1,10507,651532.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,2,11073,630336.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,3,10494,548532.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,4,10428,655804.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,5,11381,1064050.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,6,10953,582446.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,7,10803,574652.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,8,11147,738756.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,9,10574,554896.92,0.09
GREEDY,3_DPpaulli_9_workers.fjs,10,10222,341770.92,0.1
GREEDY,2a_Hurink_sdata_40_workers.fjs,1,7633,408810.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,2,7470,572184.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,3,7381,563066.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,4,7722,349624.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,5,7392,359994.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,6,7959,427094.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,7,7653,431360.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,8,7743,487898.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,9,7346,659776.36,0.16
GREEDY,2a_Hurink_sdata_40_workers.fjs,10,8293,416140.36,0.16
GREEDY,0_BehnkeGeiger_46_workers.fjs,1,210,28278.46,1.48
GREEDY,0_BehnkeGeiger_46_workers.fjs,2,221,29442.46,1.55
GREEDY,0_BehnkeGeiger_46_workers.fjs,3,252,24874.46,1.51
GREEDY,0_BehnkeGeiger_46_workers.fjs,4,244,36504.46,1.55
GREEDY,0_BehnkeGeiger_46_workers.fjs,5,220,30732.46,1.47
GREEDY,0_BehnkeGeiger_46_workers.fjs,6,266,26346.46,1.5
