Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
HYBRID,2c_Hurink_rdata_28_workers.fjs,1,1080.0,85341.6,159.15
HYBRID,2c_Hurink_rdata_28_workers.fjs,2,1117.0,22266.93,161.28
HYBRID,2c_Hurink_rdata_28_workers.fjs,3,1112.0,85590.93,161.3
HYBRID,2c_Hurink_rdata_28_workers.fjs,4,1039.0,118071.6,160.54
HYBRID,2c_Hurink_rdata_28_workers.fjs,5,1026.0,62500.93,162.91
HYBRID,2c_Hurink_rdata_28_workers.fjs,6,1079.0,90361.33,163.4
HYBRID,2c_Hurink_rdata_28_workers.fjs,7,1081.0,96748.4,161.93
HYBRID,2c_Hurink_rdata_28_workers.fjs,8,1064.0,92644.93,162.21
HYBRID,2c_Hurink_rdata_28_workers.fjs,9,1154.0,164420.0,162.35
HYBRID,2c_Hurink_rdata_28_workers.fjs,10,1071.0,30737.73,160.49
HYBRID,5_Kacem_4_workers.fjs,1,25.0,42.93,104.4
HYBRID,5_Kacem_4_workers.fjs,2,19.0,67.73,105.57
HYBRID,5_Kacem_4_workers.fjs,3,22.0,30.93,104.38
HYBRID,5_Kacem_4_workers.fjs,4,24.0,62.93,104.26
HYBRID,5_Kacem_4_workers.fjs,5,24.0,82.93,104.95
HYBRID,5_Kacem_4_workers.fjs,6,25.0,71.6,104.28
HYBRID,5_Kacem_4_workers.fjs,7,23.0,15.73,104.22
HYBRID,5_Kacem_4_workers.fjs,8,33.0,1.73,106.08
HYBRID,5_Kacem_4_workers.fjs,9,25.0,14.93,105.58
HYBRID,5_Kacem_4_workers.fjs,10,23.0,47.73,105.46
HYBRID,2b_Hurink_edata_1_workers.fjs,1,53.0,2.22,63.39
HYBRID,2b_Hurink_edata_1_workers.fjs,2,56.0,1.56,69.5
HYBRID,2b_Hurink_edata_1_workers.fjs,3,53.0,3.56,63.54
HYBRID,2b_Hurink_edata_1_workers.fjs,4,57.0,7.56,69.5
HYBRID,2b_Hurink_edata_1_workers.fjs,5,51.0,4.0,63.56
HYBRID,2b_Hurink_edata_1_workers.fjs,6,55.0,10.0,66.97
HYBRID,2b_Hurink_edata_1_workers.fjs,7,53.0,119.56,62.57
HYBRID,2b_Hurink_edata_1_workers.fjs,8,56.0,8.22,68.57
HYBRID,2b_Hurink_edata_1_workers.fjs,9,56.0,10.0,63.82
HYBRID,2b_Hurink_edata_1_workers.fjs,10,56.0,2.89,69.69
HYBRID,0_BehnkeGeiger_60_workers.fjs,1,781.0,71237.56,8225.18
HYBRID,0_BehnkeGeiger_60_workers.fjs,2,798.0,104122.62,8165.81
HYBRID,0_BehnkeGeiger_60_workers.fjs,3,784.0,122964.4,8201.39
HYBRID,0_BehnkeGeiger_60_workers.fjs,4,821.0,152124.22,8204.35
