Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
LAHC,1_Brandimarte_7_workers.fjs,1,193,891.43,22.47
LAHC,1_Brandimarte_7_workers.fjs,2,190,1.43,22.42
LAHC,1_Brandimarte_7_workers.fjs,3,162,22.86,22.64
LAHC,1_Brandimarte_7_workers.fjs,4,168,0.86,22.56
LAHC,1_Brandimarte_7_workers.fjs,5,181,49.43,21.77
LAHC,1_Brandimarte_7_workers.fjs,6,182,1.71,21.52
LAHC,1_Brandimarte_7_workers.fjs,7,202,1399.43,21.41
LAHC,1_Brandimarte_7_workers.fjs,8,204,25.71,21.33
LAHC,1_Brandimarte_7_workers.fjs,9,190,4.86,21.66
LAHC,1_Brandimarte_7_workers.fjs,10,198,1.71,21.31
LAHC,1_Brandimarte_12_workers.fjs,1,531,164.93,53.87
LAHC,1_Brandimarte_12_workers.fjs,2,523,19952.93,54.2
LAHC,1_Brandimarte_12_workers.fjs,3,512,133.73,53.99
LAHC,1_Brandimarte_12_workers.fjs,4,514,174.4,54.23
LAHC,1_Brandimarte_12_workers.fjs,5,533,243.33,54.19
LAHC,1_Brandimarte_12_workers.fjs,6,526,7899.33,54.38
LAHC,1_Brandimarte_12_workers.fjs,7,511,151.6,54.22
LAHC,1_Brandimarte_12_workers.fjs,8,547,5121.73,54.11
LAHC,1_Brandimarte_12_workers.fjs,9,547,107.73,54.22
LAHC,1_Brandimarte_12_workers.fjs,10,510,148.4,54.01
LAHC,2c_Hurink_rdata_38_workers.fjs,1,1988,1839.73,273.99
LAHC,2c_Hurink_rdata_38_workers.fjs,2,1900,73849.73,274.67
LAHC,2c_Hurink_rdata_38_workers.fjs,3,1999,2896.4,274.06
LAHC,2c_Hurink_rdata_38_workers.fjs,4,1917,9637.6,274.03
LAHC,2c_Hurink_rdata_38_workers.fjs,5,1922,17776.93,274.03
LAHC,2c_Hurink_rdata_38_workers.fjs,6,1936,38452.93,273.41
LAHC,2c_Hurink_rdata_38_workers.fjs,7,2013,1798.0,274.19
LAHC,2c_Hurink_rdata_38_workers.fjs,8,1856,379084.93,274.73
LAHC,2c_Hurink_rdata_38_workers.fjs,9,1960,105544.0,274.83
LAHC,2c_Hurink_rdata_38_workers.fjs,10,1945,148568.4,275.63
