Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
SPEA-II,5_Kacem_4_workers.fjs,1,22,1.73,88.34
SPEA-II,5_Kacem_4_workers.fjs,2,20,1.73,98.36
SPEA-II,5_Kacem_4_workers.fjs,3,21,2.93,104.59
SPEA-II,5_Kacem_4_workers.fjs,4,18,13.73,99.57
SPEA-II,5_Kacem_4_workers.fjs,5,21,3.33,103.75
SPEA-II,5_Kacem_4_workers.fjs,6,19,1.73,90.63
SPEA-II,5_Kacem_4_workers.fjs,7,22,2.4,102.76
SPEA-II,5_Kacem_4_workers.fjs,8,22,2.86,110.31
SPEA-II,5_Kacem_4_workers.fjs,9,22,3.33,112.77
SPEA-II,5_Kacem_4_workers.fjs,10,23,0.93,85.95
SPEA-II,2c_Hurink_rdata_50_workers.fjs,1,6202,1412175.33,62.38
SPEA-II,2c_Hurink_rdata_50_workers.fjs,2,6391,112740.83,70.35
SPEA-II,2c_Hurink_rdata_50_workers.fjs,3,6302,9173.33,55.16
SPEA-II,2c_Hurink_rdata_50_workers.fjs,4,6028,80263.33,83.38
SPEA-II,2c_Hurink_rdata_50_workers.fjs,5,6087,238660.83,103.41
SPEA-II,2c_Hurink_rdata_50_workers.fjs,6,6104,1068506.83,83.76
SPEA-II,2c_Hurink_rdata_50_workers.fjs,7,6762,111534.0,110.19
SPEA-II,2c_Hurink_rdata_50_workers.fjs,8,6508,27162.83,119.53
SPEA-II,2c_Hurink_rdata_50_workers.fjs,9,6174,913119.5,70.17
SPEA-II,2c_Hurink_rdata_50_workers.fjs,10,6263,22650.83,119.13
SPEA-II,3_DPpaulli_15_workers.fjs,1,3433,103607.73,179.27
SPEA-II,3_DPpaulli_15_workers.fjs,2,3477,256783.6,179.28
SPEA-II,3_DPpaulli_15_workers.fjs,3,3604,171392.4,179.42
SPEA-II,3_DPpaulli_15_workers.fjs,4,3481,247491.33,179.34
SPEA-II,3_DPpaulli_15_workers.fjs,5,3636,511801.73,179.18
SPEA-II,3_DPpaulli_15_workers.fjs,6,3411,225486.4,179.1
SPEA-II,3_DPpaulli_15_workers.fjs,7,3609,231579.33,179.22
SPEA-II,3_DPpaulli_15_workers.fjs,8,3517,175740.93,179.28
SPEA-II,3_DPpaulli_15_workers.fjs,9,3445,147673.73,179.21
SPEA-II,3_DPpaulli_15_workers.fjs,10,3589,567271.73,179.45
SPEA-II,2a_Hurink_sdata_18_workers.fjs,1,1295,16235.43,73.59
SPEA-II,2a_Hurink_sdata_18_workers.fjs,2,1380,551.43,82.18
SPEA-II,2a_Hurink_sdata_18_workers.fjs,3,1490,98.86,87.7
SPEA-II,2a_Hurink_sdata_18_workers.fjs,4,1379,25.43,71.05
SPEA-II,2a_Hurink_sdata_18_workers.fjs,5,1286,9496.0,72.73
SPEA-II,2a_Hurink_sdata_18_workers.fjs,6,1369,32.86,76.88
SPEA-II,2a_Hurink_sdata_18_workers.fjs,7,1351,29.43,72.53
SPEA-II,2a_Hurink_sdata_18_workers.fjs,8,1354,6994.86,79.5
SPEA-II,2a_Hurink_sdata_18_workers.fjs,9,1371,1060.86,80.25
SPEA-II,2a_Hurink_sdata_18_workers.fjs,10,1388,884.86,82.71
SPEA-II,2d_Hurink_vdata_30_workers.fjs,1,1652,64971.33,99.88
SPEA-II,2d_Hurink_vdata_30_workers.fjs,2,1563,95531.73,99.8
SPEA-II,2d_Hurink_vdata_30_workers.fjs,3,1570,67449.73,99.85
SPEA-II,2d_Hurink_vdata_30_workers.fjs,4,1496,48524.93,99.78
SPEA-II,2d_Hurink_vdata_30_workers.fjs,5,1534,117893.73,99.99
SPEA-II,2d_Hurink_vdata_30_workers.fjs,6,1660,63180.4,99.83
SPEA-II,2d_Hurink_vdata_30_workers.fjs,7,1561,15972.4,99.85
SPEA-II,2d_Hurink_vdata_30_workers.fjs,8,1586,197834.93,99.76
SPEA-II,2d_Hurink_vdata_30_workers.fjs,9,1594,99051.73,99.93
SPEA-II,2d_Hurink_vdata_30_workers.fjs,10,1517,42247.6,99.97
SPEA-II,2a_Hurink_sdata_61_workers.fjs,1,994,1223.73,67.41
SPEA-II,2a_Hurink_sdata_61_workers.fjs,2,1027,1949.73,76.98
SPEA-II,2a_Hurink_sdata_61_workers.fjs,3,1014,1388.4,65.34
SPEA-II,2a_Hurink_sdata_61_workers.fjs,4,954,3988.0,66.44
SPEA-II,2a_Hurink_sdata_61_workers.fjs,5,956,581.6,72.66
SPEA-II,2a_Hurink_sdata_61_workers.fjs,6,930,236.93,77.47
SPEA-II,2a_Hurink_sdata_61_workers.fjs,7,1001,2543.73,64.75
